node,lat,lon,REGION,node_name
OKGETALOGAWIND,35.855556,-98.96833,SPP,SETTLEMENTLOCATION
WFEC.MVWP.MVWP,36.293919,-98.16467,SPP,SETTLEMENTLOCATION
CSWS.AECC.DRIFTSAND,34.827778,-97.95722,SPP,SETTLEMENTLOCATION
SPS.ORPLFRISCO,36.498514,-101.6053,SPP,SETTLEMENTLOCATION
CSWSEASTMAN,32.4481,-94.6903,SPP,SETTLEMENTLOCATION
CSWS.EKCW.EKCW,35.4642,-99.8983,SPP,SETTLEMENTLOCATION
AECC_ELKINS,35.9714,-94.0014,SPP,SETTLEMENTLOCATION
WR.READ.READ,38.475,-95.9655,SPP,SETTLEMENTLOCATION
WR.EMP.CT5,38.445883,-96.06525,SPP,SETTLEMENTLOCATION
WR.EMP.CT6,38.445883,-96.06525,SPP,SETTLEMENTLOCATION
WR.EMP.CT7,38.445883,-96.06525,SPP,SETTLEMENTLOCATION
WR.EMP.CT1,38.445883,-96.06525,SPP,SETTLEMENTLOCATION
WR.EMP.CT2,38.445883,-96.06525,SPP,SETTLEMENTLOCATION
WR.EMP.CT3,38.445883,-96.06525,SPP,SETTLEMENTLOCATION
WR.EMP.CT4,38.445883,-96.06525,SPP,SETTLEMENTLOCATION
WAUE.BEPM.ESTHERVILLE,43.4028,-94.8433,SPP,SETTLEMENTLOCATION
WAUE.MRES.EXR1,41.514365,-94.91973,SPP,SETTLEMENTLOCATION
WAUE.MRES.EXR2,41.514365,-94.91973,SPP,SETTLEMENTLOCATION
WAUE.MRES.EXR3,41.514365,-94.91973,SPP,SETTLEMENTLOCATION
GRDA.SEC1,36.161944,-97.03694,SPP,SETTLEMENTLOCATION
GRDA.SEC2,36.161944,-97.03694,SPP,SETTLEMENTLOCATION
GRDA.SEC3,36.161944,-97.03694,SPP,SETTLEMENTLOCATION
BUFFALO_DUNES_WIND,37.620833,-101.0761,SPP,SETTLEMENTLOCATION
AECC_FITZHUGH,35.462382,-93.80493,SPP,SETTLEMENTLOCATION
AECC_FITZHUGH,35.462382,-93.80493,SPP,SETTLEMENTLOCATION
CSWFLINTCREEK1,36.2561,-94.5241,SPP,SETTLEMENTLOCATION
AECC_FLTCREEK,36.2561,-94.5241,SPP,SETTLEMENTLOCATION
MO.AM.FRED1.MP,37.571672,-90.31725,SPP,SETTLEMENTLOCATION
MO.AM.FRED2.MP,37.571672,-90.31725,SPP,SETTLEMENTLOCATION
WAUE.FTPECK.1_3,48.0122,-106.4123,SPP,SETTLEMENTLOCATION
WAUE.FTPECK.1_3,48.0122,-106.4123,SPP,SETTLEMENTLOCATION
WAUE.FTPECK.4_5,48.0122,-106.4123,SPP,SETTLEMENTLOCATION
WAUE.FTPECK.4_5,48.0122,-106.4123,SPP,SETTLEMENTLOCATION
WAUE.FTPECK.1_3,48.0122,-106.4123,SPP,SETTLEMENTLOCATION
WAUE.FTRANDALL.1_2,43.0653,-98.5539,SPP,SETTLEMENTLOCATION
WAUE.FTRANDALL.1_2,43.0653,-98.5539,SPP,SETTLEMENTLOCATION
WAUE.FTRANDALL.3_8,43.0653,-98.5539,SPP,SETTLEMENTLOCATION
WAUE.FTRANDALL.3_8,43.0653,-98.5539,SPP,SETTLEMENTLOCATION
WAUE.FTRANDALL.3_8,43.0653,-98.5539,SPP,SETTLEMENTLOCATION
WAUE.FTRANDALL.3_8,43.0653,-98.5539,SPP,SETTLEMENTLOCATION
WAUE.FTRANDALL.3_8,43.0653,-98.5539,SPP,SETTLEMENTLOCATION
WAUE.FTRANDALL.3_8,43.0653,-98.5539,SPP,SETTLEMENTLOCATION
AECC_FULTON,33.6094,-93.7924,SPP,SETTLEMENTLOCATION
NPPD_GGS2,41.0808,-101.1408,SPP,SETTLEMENTLOCATION
NPPD_GGS1,41.0808,-101.1408,SPP,SETTLEMENTLOCATION
WAUE.GARRISON.1_3,47.4945,-101.4115,SPP,SETTLEMENTLOCATION
WAUE.GARRISON.1_3,47.4945,-101.4115,SPP,SETTLEMENTLOCATION
WAUE.GARRISON.1_3,47.4945,-101.4115,SPP,SETTLEMENTLOCATION
WAUE.GARRISON.4_5,47.4945,-101.4115,SPP,SETTLEMENTLOCATION
WAUE.GARRISON.4_5,47.4945,-101.4115,SPP,SETTLEMENTLOCATION
WAUE.GAVINSPT.1_3,42.848829,-97.48148,SPP,SETTLEMENTLOCATION
WAUE.GAVINSPT.1_3,42.848829,-97.48148,SPP,SETTLEMENTLOCATION
WAUE.GAVINSPT.1_3,42.848829,-97.48148,SPP,SETTLEMENTLOCATION
WR.GEEC.GT1,37.7903,-97.52167,SPP,SETTLEMENTLOCATION
WR.GEEC.GT2,37.7903,-97.52167,SPP,SETTLEMENTLOCATION
WR.GEEC.GT3,37.7903,-97.52167,SPP,SETTLEMENTLOCATION
WFEC.PEOP.LELK,35.194722,-98.90722,SPP,SETTLEMENTLOCATION
WAUE.PCWF.PCWF,44.857694,-95.56889,SPP,SETTLEMENTLOCATION
GRDA.GREC2,36.190278,-95.2894,SPP,SETTLEMENTLOCATION
GRDA.GREC3,36.190278,-95.2894,SPP,SETTLEMENTLOCATION
MKEC_KPP_GBURG,37.5499,-99.3444,SPP,SETTLEMENTLOCATION
MPSGRNWD1UN1,38.8615,-94.2982,SPP,SETTLEMENTLOCATION
MPSGRNWD1UN2,38.8615,-94.2982,SPP,SETTLEMENTLOCATION
MPSGRNWD1UN3,38.8615,-94.2982,SPP,SETTLEMENTLOCATION
MPSGRNWD1UN4,38.8615,-94.2982,SPP,SETTLEMENTLOCATION
WAUE.BEPM.GGS1,45.3735,-98.09869,SPP,SETTLEMENTLOCATION
WAUE.BEPM.GGS2,45.3735,-98.09869,SPP,SETTLEMENTLOCATION
WAUE.OPPD.GRPR1,42.608056,-98.42833,SPP,SETTLEMENTLOCATION
SPS.HARRNGTN2,35.29816,-101.7472,SPP,SETTLEMENTLOCATION
SPS.HARRNGTN3,35.29816,-101.7472,SPP,SETTLEMENTLOCATION
SPS.HARRNGTN1,35.29816,-101.7472,SPP,SETTLEMENTLOCATION
KCPLHAWTHORNUNHAW5,39.1306,-94.4778,SPP,SETTLEMENTLOCATION
KCPLHAWTHORN6,39.1306,-94.4778,SPP,SETTLEMENTLOCATION
WAUE.BEPM.SUNFLOWER,46.837569,-102.0746,SPP,SETTLEMENTLOCATION
SPS.RALLSWIND,33.661111,-101.39,SPP,SETTLEMENTLOCATION
WAUE.BEPM.WILTON2,47.1333,-100.7011,SPP,SETTLEMENTLOCATION
SPS.GPWC.GPWC,36.3075,-101.5322,SPP,SETTLEMENTLOCATION
GOODWELL_WIND,36.541389,-101.5656,SPP,SETTLEMENTLOCATION
WFEC_RKYRIDGE_WIND_FARM,35.135556,-99.00306,SPP,SETTLEMENTLOCATION
SPS.HOBBS.CC,32.728333,-103.3094,SPP,SETTLEMENTLOCATION
SPS.HOBBS.CC,32.728333,-103.3094,SPP,SETTLEMENTLOCATION
SPS.HOBBS.CC,32.728333,-103.3094,SPP,SETTLEMENTLOCATION
SECIHOLCOM1UN1,37.9308,-100.9725,SPP,SETTLEMENTLOCATION
NPPD.THWE.THW2,42.062002,-98.23896,SPP,SETTLEMENTLOCATION
NPPD.THWE.THW1,42.062002,-98.23896,SPP,SETTLEMENTLOCATION
OKGE.LES.ARBKL,34.386944,-97.13694,SPP,SETTLEMENTLOCATION
NPPD.OPPD.SHOL,42.3119,-97.3647,SPP,SETTLEMENTLOCATION
OKGEHL8,35.50866,-97.17969,SPP,SETTLEMENTLOCATION
WFEC_HUGO_PLANT,34.0158,-95.3206,SPP,SETTLEMENTLOCATION
